listing_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/inversion-que-no-te-puedes-perder!-53257422.html,inmuebles24,53257422,2017-08-14,Venta,Departamento,"Departamento
											",,"Inversión Que No Te Puedes Perder!, Distrito Federal - Inmuebles24","Marisma 77, Ampliación Alpes, Alvaro Obregón",,Alvaro Obregón,Ampliación Alpes,,,Distrito Federal,"
										Edificio Completo en Venta!! 6 Departamentos en 3 Niveles + 2 Roof Garden Privados + 6 Lugares de Estacionamientos + 6 Bodegas + Jardín con Asadero!! ",,,19.355447900000000,-99.211802999999970,275,520,,,,"MN 18,500,000",,,,,,, 25MERC,Inmuebles Alexander,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-inmejorable-ubicacion-polanco-53423138.html,inmuebles24,53423138,2017-09-20,Venta,Departamento,"Departamento
											",,"Departamento Inmejorable Ubicacion Polanco, Distrito Federal - Inmuebles24","Emerson , Polanco, Miguel Hidalgo",,Miguel Hidalgo,Polanco,,,Distrito Federal,"
										Departamento para remodelar ubicado en el corazón de Polanco, a una cuadra de Masaryk. En edificio de pocos departamentos y muy buen estado de mantenimiento y conservación, espacioso, lleno de luz, buenos espacios, cocina con despensa y área para desayunador, tres recámaras, dos baños completos, lavandería, cuarto de servicio con baño. Dos closets para blancos. Con terraza a lo largo de todo el departamento. Un lugar de estacionamiento. Portero 24 horas.
									",,,19.433673400000000,-99.189036900000020,240,240,,,,"MN 12,000,000",,,,,,, 25SJ18,Coldwell Banker Mobika Premium (id facturación Mobika),,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamentos-en-playa-zulim-52534441.html,inmuebles24,52534441,2017-09-22,Venta,Departamento,"Departamento
											",,"Departamentos en Playa /zulim, Provincia de Quintana Roo - Inmuebles24",,,Solidaridad,Aviación,,,Quintana Roo,"
										Exclusivos departamentos de 2 recamaras , Totalmente amueblados y amenidades disponibles para hacer de su estadia o residencia definitiva una experiencia de vida muy cercana al caribe precios desde USD 156.750 ENTREGA DICIEMBRE 2018 , FACILIDADES DE PAGO. INVERSION Y PLUSVALIA GARANTIZADA
									",,,,,77,77,,,,"U$D 110,000",,,,,,, 24PLI1,PROVISA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-con-gran-jardin-por-juan-palomar-y-arias-53222015.html,inmuebles24,53222015,2017-09-10,Venta,Departamento,"Departamento
											",,"Departamento con Gran Jardin por Juan Palomar y Arias, Jalisco - Inmuebles24","av. universidad, zapopan , Virreyes Residencial, Zapopan",,Zapopan,Virreyes Residencial,,,Jalisco,"
										En la Torre del Fraccionamiento Puerta las Lomas con amenidades privadas como estacionamiento subterráneo, gimnasio, sala de esparcimiento, alberca climatizada y terraza en el Roof con Increíble Vista Panorámica a la cañada natural interna y Zona Andares. ",,,20.703315800000000,-103.420899900000000,474,228,,,,"MN 9,608,853",,,,,,, 25L5H5,FABIOLA GUERRERO,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/pent-house-de-2-plantas-150-m2-mas-roof-garden-de-68-52686444.html,inmuebles24,52686444,2017-09-23,Venta,Departamento,"Departamento
											",,"Pent - House de 2 Plantas 150 m² Más Roof Garden de 68 m² 9,800,000 (A Tratar), Distrito Federal - Inmuebles24","Alabama, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Exclusivo Desarrollo ubicado en la calle de Alabama, Col. Nápoles, distribuido en cinco torres de Planta Baja más cinco niveles. ",,,19.390180700000000,-99.177472599999990,218,150,,,,"MN 9,800,000",,,,,,, A-PH-3 ALAB,RAFAEL SANTAMARINA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/acapulco-diamante:-departamento-cerca-de-playa-y-vista-50422234.html,inmuebles24,50422234,2017-09-13,Venta,Departamento,"Departamento
											",,"Acapulco Diamante: Departamento Cerca de Playa y Vista Al Campo de Golf, Provincia de Guerrero - Inmuebles24",,,Acapulco de Juárez,,,,Guerrero,"
										Excelente departamento, cerca de playa y vista al campo de Golf, 117.00 m2, 2 recamaras, 2 baños, terraza, sala, comedor, cocina, cuarto de servicio con baño, área de lavado, 1 cajón de estacionamiento. ",,,16.775017940900000,-99.790488671300000,2 Recámaras,,,,,"MN 2,950,000",,,,,,, 118876s,Selecto Bienes Raíces,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-s.-m.-26-53411269.html,inmuebles24,53411269,2017-09-25,Venta,Departamento,"Departamento
											",,"Departamento S. m. 26, Provincia de Quintana Roo - Inmuebles24","Colonia Supermanzana 29, Supermanzana 29, Cancún",,Cancún,Supermanzana 29,,,Quintana Roo,"
										",,,21.160280620000000,-86.834735870000000,Antigüedad: 15 años,,,,,"MN 725,000",,,,,,, DR101120240,A.B.R. CANCUN SA DE CV,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-venta-en-magdalena-mixiuhca-53341976.html,inmuebles24,53341976,2017-09-01,Venta,Departamento,"Departamento
											",,"Departamento en Venta en Magdalena Mixiuhca, Venustiano Carranza, Distrito Federal, Distrito Federal - Inmuebles24",,,Venustiano Carranza,Magdalena Mixiuhca,,,Distrito Federal,"
										Departamento en Venta. Colonia Magdalena Mixhuca, 36 m2 en Planta Baja. Consta de SalaComedor, Cocina, 1 recamara con closet, 1 baño completo, Pisos de linoleum, Jaula de Tendido, Excelente ubicación, Av. Principales, Francisco del paso y Troncoso, Viaducto y Eje 3 Morelos. a unos pasos del Metro Mixhuca. Cerca de Bancos, Hospitales, Escuelas. Sin Estacionamiento ",,,,,36,36,,,,"MN 590,000",,,,,,, 1310-274,Alfa Inmobiliaria Laandfer,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/pre-venta.-hermoso-desarrollo-con-enormes-terrazas-y-53066542.html,inmuebles24,53066542,2017-08-23,Venta,Departamento,"Departamento
											",,"Pre Venta. Hermoso Desarrollo con Enormes Terrazas y Vista Al Campo de Golf, Edo. de México - Inmuebles24","Av club de golf, Lomas Country Club, Huixquilucan",,Huixquilucan,Lomas Country Club,,,Edo. de México,"
										PRE VENTA. EL MÁS HERMOSO Y LUJOSO DESARROLLO CON ENORMES TERRAZAS EN LOS DEPARTAMENTOS. Lo tiene todo, deptos con 3 recámaras con vestidor y baño, cuarto de TV, ENORMES TERRAZAS, COCINA Y AREA DE SERVICIO, BODEGA, 3 estacionamientos. PRE VENTA, ENTREGA JUNIO 2019. Precios a partir de 16,000,000
									",,,19.405001212457815,-99.289378684716780,360,360,,,,"MN 16,000,000",,,,,,, 25FCOM,SUSANA VILLALON,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/gran-coral-departamentos-nick-price-52427138.html,inmuebles24,52427138,2017-09-08,Venta,Departamento,"Departamento
											",,"Gran Coral Departamentos Nick Price, Provincia de Quintana Roo - Inmuebles24",,,Playa del Carmen,,,,Quintana Roo,"
										",,,,,125,125,,,,"U$D 325,000",,,,,,, DR132360174,Luxury Cancun and Rivera MP,,,,,,,,,,,,,,,,,,
