listing_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/inversion-que-no-te-puedes-perder!-53257422.html,inmuebles24,53257422,2017-08-14,Venta,Departamento,"Departamento
											",,"Inversión Que No Te Puedes Perder!, Distrito Federal - Inmuebles24","Marisma 77, Ampliación Alpes, Alvaro Obregón",,Alvaro Obregón,Ampliación Alpes,,,Distrito Federal,"
										Edificio Completo en Venta!! 6 Departamentos en 3 Niveles + 2 Roof Garden Privados + 6 Lugares de Estacionamientos + 6 Bodegas + Jardín con Asadero!! ",,,19.355447900000000,-99.211802999999970,275,520,,"Edificio Completo en Venta!! 6 Departamentos en 3 Niveles + 2 Roof Garden Privados + 6 Lugares de Estacionamientos + 6 Bodegas + Jardín con Asadero!! 

Vista Panorámica en cada Nivel y en cada Departamento!! 

Amplia Sala y Comedor. 3 Recámaras / 2 Baños Completos. 

Ubicado a sólo 5 minutos de la mayor Vía de la Ciudad. No Se Pierda de Esta GRAN INVERSIÓN!! 

Mínimo Ingreso Anual de Renta = $1,200,000MN 
Precio de Venta del Edificio Completo = $18,500,000MN (Negociable) 
Mínimo Retorno de Inversión = 6.5% Anual!!",,"MN 18,500,000",,,,,,, 25MERC,Inmuebles Alexander,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta-pagina-9.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/pent-house-de-2-plantas-150-m2-mas-roof-garden-de-68-52686444.html,inmuebles24,52686444,2017-09-23,Venta,Departamento,"Departamento
											",,"Pent - House de 2 Plantas 150 m² Más Roof Garden de 68 m² 9,800,000 (A Tratar), Distrito Federal - Inmuebles24","Alabama, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Exclusivo Desarrollo ubicado en la calle de Alabama, Col. Nápoles, distribuido en cinco torres de Planta Baja más cinco niveles. ",,,19.390180700000000,-99.177472599999990,218,150,,"Exclusivo Desarrollo ubicado en la calle de Alabama, Col. Nápoles, distribuido en cinco torres de Planta Baja más cinco niveles. 

87 elegantes departamentos de 119m2 a 123m2, los Pent-House con Roof-Garden privado más balcón de3m2 a 10.36 con un monto de inversión desde $6,597,697.00, con una magnífica distribución: 
-Sala/Comedor 
-Dos o Tres recámaras (La recámara principal cuenta con vestidor y baño privado, la recámara secundaria con closet y baño completo) 
-Toilet 
-Cuarto de lavado 
-Cocina integral con un extraordinario diseño contemporáneo 
-Área de lavado 
-Dos cajones de estacionamiento fijos.-Gimnasio equipado y carril de nado de 20m de longitud 
-Cinco elevadores 
-Planta de luz de emergencia para áreas comunes 
-Tendrá más de 480m2 de jardines con fuentes y espejos de agua en los cuales disfrutarán el placer de vivir ahí cada día, además para sus próximas fiestas y reuniones, podrá disfrutar del salón de usos múltiples. 

Su seguridad es muy importante por lo cual contará con circuito cerrado de TV y vigilancia las 24 hrs del día. 

OPORTUNIDADES: 

• Departamento de 108m2 
• Planta Baja (Vista al Jardín Central) 
• 2 Recámaras 
• Terraza privada en recámara pricipal de 19m2 
• 2 Cajones de Estacionamiento. 
• MONTO DE INVERSIÓN: 6,100,000 (A Tratar). 

• PENT- HOUSE de 150m2 en dos plantas, con vista exterior e interior 
• Roof- Garden Privado de 68m2 
• 3 Recámaras 
• 2 ½ baños 
• Terraza privada de 10m2 
• 2 Cajones de Estacionamiento Fijos e Independientes 
