listing_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/entrega-inmediata-oficinas-en-venta-desde-85.5-m2-50048137.html,inmuebles24,50048137,2017-08-10,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Entrega Inmediata / Oficinas en Venta Desde 85.5 m², Distrito Federal - Inmuebles24","Laguna de Términos 221, Granada, Miguel Hidalgo",,Miguel Hidalgo,Granada,,,Distrito Federal,"
										OFICINAS DESDE 85.5M2 ENTREGA INMEDIATA EXCELENTE OPORTUNIDAD ÚLTIMAS OFICINAS EN VENTA. ",,,19.443414200000000,-99.183828100000030,85,m²,,,,"MN 65,000",,,,,,, 21NJ17,YAMA Desarrolladora Inmobiliaria ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/lotes-en-lomas-de-angelopolis-52282119.html,inmuebles24,52282119,2017-08-09,Venta,Desarrollo Horizontal/Vertical,"Desarrollo Horizontal/Vertical
											",,"Lotes en Lomas de Angelópolis, Provincia de Puebla - Inmuebles24",,,Ocoyucan,Pueblo Santa Clara Ocoyucan,,,Puebla,"
										Contamos con lotes en una comunidad planeada única en la ciudad de Puebla. Tu familia contará con áreas verdes, zonas comerciales, canchas deportivas, juegos infantiles, lagos, ciclopistas, excelente ubicación y muchas cosas más. ",,,,,128,m²,,,,"MN 5,000",,,,,,, 24GB79,Grupo Proyecta,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-venta-y-renta-wtc-52785913.html,inmuebles24,52785913,2017-09-01,Alquiler / Venta,Oficina,"Oficina
											",,"Oficinas en Venta y Renta Wtc, Distrito Federal - Inmuebles24","Montecito 38, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Edificio seguro, cuenta con gatos hidráulicos, columnas de concreto puro y estructuras de Tridilosa. ",,,19.394144400000000,-99.174004999999970,"
												",m²,,,,"U$D 4,500",,,,,,, 21 - A,CITKEY INMOBILIARIA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/funcional-oficina-en-bosques-de-las-lomas-52227159.html,inmuebles24,52227159,2017-09-27,Venta,Oficina,"Oficina
											",,"Funcional Oficina en Bosques de Las Lomas, Distrito Federal - Inmuebles24","LAURELES , Bosque de las Lomas, Miguel Hidalgo",,Miguel Hidalgo,Bosque de las Lomas,,,Distrito Federal,"
										La oficina se encuentra en el primer piso, tiene una excelente distribución en los espacios, hermosos acabados, la iluminación es excelente. ",,,19.380689800000000,-99.265622300000020,Mantenimiento, Superficie de terreno,,,,"MN 25,000,000",,,,,,, BOSQUES18,Claudia Matus Calleros -,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/lote-en-venta-con-vista-a-lago-lagos-de-sol-53200329.html,inmuebles24,53200329,2017-09-20,Venta,Terreno / Lote,"Terreno / Lote
											",,"Lote en Venta con Vista a Lago - Lagos de Sol, Provincia de Quintana Roo - Inmuebles24",,,Cancún,Lagos del Sol,,,Quintana Roo,"
										Tamaño 780.18 m2 ",,,,,780,1,,,,"MN 4,290,990",,,,,,, 25KBE9,MARTHA PEREZ REALTY,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficina-en-venta-en-san-pedro-garza-garcia-51826675.html,inmuebles24,51826675,2017-09-28,Venta,Oficina,"Oficina
											",,"Oficina en Venta en San Pedro Garza García, Nuevo León - Inmuebles24",,,San Pedro Garza García,,,,Nuevo León,"
										TEL. (81)8303.4993 OFICINAS en PRE-VENTA, en exclusiva torre de 27 pisos con acabados de lujo y una ubicación excelente, en Valle Oriente, acceso a principales vías. Ademas el proyecto contempla espacios comerciales en renta de 4 niveles, para todo tipo de comercio y restaurant. Con diseño arquitectónico vanguardista, fachada ventilada, 9 elevadores y escaleras eléctricas que garantizan un transito ágil travez del desarrollo, 10 niveles subterraneos de estacionamiento. Contamos con oficinas desde 33 mts2 hasta pisos completos ",,,,,94,94,,,,"MN 4,891,120",,,,,,, 73033,GRUPO VIA INMUEBLES MTY,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/coyoacan-pedregal-de-san-angel-para-4-casas.-52543390.html,inmuebles24,52543390,2017-09-26,Venta,Terreno / Lote,"Terreno / Lote
											",,"Coyoacán, Pedregal de San Ángel, Para 4 Casas. Distrito Federal - Inmuebles24",,,Coyoacán,Jardines del Pedregal de San Angel,,,Distrito Federal,"
										",,,,,"1,666",,,,,"MN 49,000,000",,,,,,, 799,IRG Real Estate,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-preventa-centro-alpes-52060426.html,inmuebles24,52060426,2017-08-10,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Oficinas en Preventa / Centro Alpes, Distrito Federal - Inmuebles24","Periférico Sur 2165, Los Alpes, Alvaro Obregón",,Alvaro Obregón,Los Alpes,,,Distrito Federal,"
										OFICINAS EN PREVENTA. Obra gris. Precio por m2. ",,,19.357001090768453,-99.198519604138200,45,45,,,,"MN 60,000",,,,,,, 2484RG,YAMA Desarrolladora Inmobiliaria ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/condominio-torre-ho-53241750.html,inmuebles24,53241750,2017-08-10,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Condominio Torre Ho, Distrito Federal - Inmuebles24","BOULEVARD ADOLFO RUIZ CORTINEZ No. 3443, San Jerónimo Lídice, La Magdalena Contreras",,La Magdalena Contreras,San Jerónimo Lídice,,,Distrito Federal,"
										CONDOMINIO ""TORRE HO"" ES UN EDIFICIO DE 24 FUNCIONALES OFICINAS Y 12 MAGNÍFICOS DEPARTAMENTOS, CON SERVICIOS COMPLETAMENTE INDEPENDIENTES, UBICADOS EN LA ZONA DE MAYOR PLUSVALÍA DEL SUR DE LA CIUDAD, SAN JERÓNIMO LIDICE, CONOZCANOS NO SE ARREPENTIRA!
									",,,19.322451800000000,-99.219170500000020,46,m²,,,,"MN 2,800,000",,,,,,, 25LRF0,GRUPO RETO ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-renta-lomas-de-chapultepec-palmas-52997798.html,inmuebles24,52997798,2017-08-25,Alquiler / Venta,Oficina,"Oficina
											",,"Oficinas en Renta Lomas de Chapultepec - Palmas, Distrito Federal - Inmuebles24","PASEO DE LAS PALMAS, Lomas de Chapultepec, Miguel Hidalgo",,Miguel Hidalgo,Lomas de Chapultepec,,,Distrito Federal,"
										Casa con uso de suelo para oficinas ubicada en esquina, de estilo clásico con amplio jardín en perfecto estado de conservación, enrejado perimetral de acero forjado al igual que la puerta de acceso principal. Estacionamiento con portón eléctrico para 8 vehículos. Amplio lobby a doble altura con ventanales, varios privados en planta baja con baños para hombres y mujeres, almacén, cocina y comedor para empleados. En planta alta varias oficinas, sala de juntas, baños en privados y baños generales. Buenos acabados en todas las áreas de la casa tanto en pisos, muros, carpintería, etc. Construcción anexa intercomunicada con la casa principal con varios privados, baños y almacén. Instalación eléctrica funcionando.
									",,,19.428544802464080,-99.216679744921860,"
												",m²,,,,"U$D 10,000,000",,,,,,, C-020,LINEA RECTA BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-industrial-en-periferico-y-tlahuac-50412682.html,inmuebles24,50412682,2017-09-18,Venta,Nave industrial,"Nave industrial
											",,"Nave Industrial en Periférico y Tláhuac, Distrito Federal - Inmuebles24","Cataroja, Cerro de La Estrella, Iztapalapa",,Iztapalapa,Cerro de La Estrella,,,Distrito Federal,"
										Nave industrial tipo semipesado en general. EXCELENTE UBICACIÓN Sobre Periférico Oriente y a 2 cuadras de Av. Tláhuac, En zona industrial de Iztapalapa. Cuenta con entrada para trailer, patio de maniobras lateral para dos camiones, Cuarto de control de báscula, Almacén, Bodega de transición, Caseta de vigilancia y control de acceso, Oficinas, Sala de juntas y Comedor. ",,,19.326441000000000,-99.076582400000000,"5,000","4,822",,,,"MN 39,950,000",,,,,,, 22742M,Habitat Soluciones Inmobiliarias,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficina-en-venta-col.-obispado-mty-n.-l-109.9-m2-52010242.html,inmuebles24,52010242,2017-09-06,Venta,Oficina,"Oficina
											",,"Oficina en Venta Col. Obispado Mty N. L 109.9 m² $27,900 m² $3,066,210, Nuevo León - Inmuebles24",,,Monterrey,Obispado,,,Nuevo León,"
										",,,,,109,109,,,,"MN 3,066,210",,,,,,, OC10770089,BR MONTERREY,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/vinkel-office-park-52073331.html,inmuebles24,52073331,2017-09-18,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Vinkel Office Park, Nuevo León - Inmuebles24","Avenida Lázaro Cárdenas 506 , Antigua, Monterrey",,Monterrey,Antigua,,,Nuevo León,"
										VINKEL es un proyecto con arquitectura única, creación de Vidal Arquitectos y desarrollada por Baluk, empresa con 15 años de experiencia en el ramo inmobiliario. ",,,25.634440000000000,-100.305842699999970,47,m²,,,,"MN 2,490,000",,,,,,, 248J7L,Grow 2,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-preventa-centro-jardines-del-pedregal-52073751.html,inmuebles24,52073751,2017-08-10,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Oficinas en Preventa / Centro Jardines del Pedregal, Distrito Federal - Inmuebles24","Boulevard Adolfo López Mateos 3332, Jardines del Pedregal, Alvaro Obregón",,Alvaro Obregón,Jardines del Pedregal,,,Distrito Federal,"
										OFICINAS EN PREVENTA. Obra gris. Precio por m2. ",,,19.323403900000000,-99.216729300000000,Hasta 2 Baños,Entrega,,,,"MN 69,000",,,,,,, 248JLL,YAMA Desarrolladora Inmobiliaria ,,,,,,,,,,,,,,,,,,
listing_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/entrega-inmediata-oficinas-en-venta-desde-85.5-m2-50048137.html,inmuebles24,50048137,2017-08-10,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Entrega Inmediata / Oficinas en Venta Desde 85.5 m², Distrito Federal - Inmuebles24","Laguna de Términos 221, Granada, Miguel Hidalgo",,Miguel Hidalgo,Granada,,,Distrito Federal,"
										OFICINAS DESDE 85.5M2 ENTREGA INMEDIATA EXCELENTE OPORTUNIDAD ÚLTIMAS OFICINAS EN VENTA. ",,,19.443414200000000,-99.183828100000030,85,m²,,,,"MN 65,000",,,,,,, 21NJ17,YAMA Desarrolladora Inmobiliaria ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/lotes-en-lomas-de-angelopolis-52282119.html,inmuebles24,52282119,2017-08-09,Venta,Desarrollo Horizontal/Vertical,"Desarrollo Horizontal/Vertical
											",,"Lotes en Lomas de Angelópolis, Provincia de Puebla - Inmuebles24",,,Ocoyucan,Pueblo Santa Clara Ocoyucan,,,Puebla,"
										Contamos con lotes en una comunidad planeada única en la ciudad de Puebla. Tu familia contará con áreas verdes, zonas comerciales, canchas deportivas, juegos infantiles, lagos, ciclopistas, excelente ubicación y muchas cosas más. ",,,,,128,m²,,,,"MN 5,000",,,,,,, 24GB79,Grupo Proyecta,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-industrial-en-periferico-y-tlahuac-50412682.html,inmuebles24,50412682,2017-09-18,Venta,Nave industrial,"Nave industrial
											",,"Nave Industrial en Periférico y Tláhuac, Distrito Federal - Inmuebles24","Cataroja, Cerro de La Estrella, Iztapalapa",,Iztapalapa,Cerro de La Estrella,,,Distrito Federal,"
										Nave industrial tipo semipesado en general. EXCELENTE UBICACIÓN Sobre Periférico Oriente y a 2 cuadras de Av. Tláhuac, En zona industrial de Iztapalapa. Cuenta con entrada para trailer, patio de maniobras lateral para dos camiones, Cuarto de control de báscula, Almacén, Bodega de transición, Caseta de vigilancia y control de acceso, Oficinas, Sala de juntas y Comedor. ",,,19.326441000000000,-99.076582400000000,"5,000","4,822",,,,"MN 39,950,000",,,,,,, 22742M,Habitat Soluciones Inmobiliarias,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-venta-cerca-de-prados-tepeyac-52983803.html,inmuebles24,52983803,2017-08-08,Venta,Oficina,"Oficina
											",,"Oficinas en Venta Cerca de Prados Tepeyac, Jalisco - Inmuebles24","Tezozomoc, El Zapote, Zapopan",,Zapopan,El Zapote,,,Jalisco,"
										Excelente propiedad para uso comercial, en muy buen estado de conservación, amplio estacionamiento interior con áreas verdes, buena ubicación, cinco oficinas, cinco cubículos, sala de juntas, cocineta y recepción. ",,,20.656106864896970,-103.417616081228630,500,215,,,,"MN 4,500,000",,,,,,, 25CAQN,Arkredi,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-oportunidad-oficina-remate-bancario-calle-53395266.html,inmuebles24,53395266,2017-09-14,Venta,Oficina,"Oficina
											",,"Excelente Oportunidad Oficina Remate Bancario, Calle Ponciano No.15, Distrito Federal - Inmuebles24","CALLE PONCIANO ARRIAGA #15 TABACALERA, Tabacalera, Cuauhtémoc",,Cuauhtémoc,Tabacalera,,,Distrito Federal,"
										Excelente oportunidad de adquisición de esta OFICINA en CALLE PONCIANO ARRIAGA COL,TABACALERA tan solo $480,497.94 M.N. con un pago inicial de $220,000.00 M.N. a la firma del contrato el resto $260,497.94 M.N. con firma notariada a la entrega material de 8 a 14 meses. Indispensable recursos propios NO aplican créditos hipotecarios o infonavit. Esta propiedad cuenta con un avalúo mínimo de $1,225,000.00 Los remates bancarios son una gran oportunidad para adquirir una propiedad muy por debajo de su valor comercial, es una de las formas más rentables de inversión, con plusvalía inmediata. Adicionalmente contamos con un inventario de más de 1000 propiedades en el D.F. y área metropolitana. Para mayores informes o bien si desea agendar una cita, quedo a sus apreciables órdenes, ATTENTAMENTE: LIC. GABRIELA SALINAS / CELULAR: ",,,19.437862800000000,-99.153894199999970,70,70,,,,"MN 480,497",,,,,,, 25RI26,INB Recuperación Bancaria,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/consultorios-en-venta-en-el-tec-100-queretaro-53265608.html,inmuebles24,53265608,2017-08-15,Venta,Oficina,"Oficina
											",,"Consultorios en Venta en El Tec 100, Queretaro, Provincia de Querétaro - Inmuebles24","Prolongación Zaragoza 16- A, Centro, Querétaro",,Querétaro,Centro,,,Querétaro,"
										Son 3 consultorios, unidos, se venden juntos o separados. En la torre médica del Tec 100 ",,,20.567822100000000,-100.415048899999990,Mantenimiento, Superficie de terreno,,,,"MN 2,590,000",,,,,,, yolconsul,INMUEBLES MEXICO,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/propiedad-comercial-en-venta-o-renta-blvd.-vildosola-52417307.html,inmuebles24,52417307,2017-09-25,Venta,Oficina,"Oficina
											",,"Propiedad Comercial en Venta o Renta, Blvd. Vildosola Sur, Sonora - Inmuebles24","Blvd. Vildosola # 302 b, Piedra Bola (Pedregal de la Villa), Hermosillo",,Hermosillo,Piedra Bola (Pedregal de la Villa),,,Sonora,"
										Excelente y bien ubicada propiedad comercial en Venta o Renta . ",,,29.040339483748592,-110.957785084933450,"1,447",268,,,,"MN 9,735,000",,,,,,, 24LBDH,ESPACIOS TERRA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-oficina-en-venta-60-m2-piso-6-de-wtc-53395797.html,inmuebles24,53395797,2017-09-13,Venta,Oficina,"Oficina
											",,"Excelente Oficina en Venta 60 m² Piso 6 de Wtc, Distrito Federal - Inmuebles24","MONTECITO 38, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										EXCELENTE OFICINA DE 60 M2 EN PISO DE LA TORRE DE WTC ",,,19.394144400000000,-99.174004999999970,60,60,,,,"MN 4,500,000",,,,,,, 25RIJR,SIVA COMERCIAL,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficina-en-venta-premiere-floor-wtc-mexico-53413746.html,inmuebles24,53413746,2017-09-27,Alquiler / Venta,Oficina,"Oficina
											",,"Oficina en Venta Premiere Floor Wtc Mexico, Distrito Federal - Inmuebles24","montecito 38, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Oficina a estrenar en el piso premier dentro del wtc ",,,19.394143900000000,-99.174001200000020,"
												",209,,,,"MN 20,164,473",,,,,,, 32 venta piso 4,GCG6,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/oficina-en-venta-en-san-pedro-garza-garcia-51826675.html,inmuebles24,51826675,2017-09-28,Venta,Oficina,"Oficina
											",,"Oficina en Venta en San Pedro Garza García, Nuevo León - Inmuebles24",,,San Pedro Garza García,,,,Nuevo León,"
										TEL. (81)8303.4993 OFICINAS en PRE-VENTA, en exclusiva torre de 27 pisos con acabados de lujo y una ubicación excelente, en Valle Oriente, acceso a principales vías. Ademas el proyecto contempla espacios comerciales en renta de 4 niveles, para todo tipo de comercio y restaurant. Con diseño arquitectónico vanguardista, fachada ventilada, 9 elevadores y escaleras eléctricas que garantizan un transito ágil travez del desarrollo, 10 niveles subterraneos de estacionamiento. Contamos con oficinas desde 33 mts2 hasta pisos completos ",,,,,94,94,,,,"MN 4,891,120",,,,,,, 73033,GRUPO VIA INMUEBLES MTY,,,,,,,,,,,,,,,,,,
