Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/nuevo-townhouse-a-una-calle-de-altabrisa-52630125.html,inmuebles24, 52630125,2017-07-14 12:28:06.865725,Venta,Casa,"Casa
											",,"Nuevo Townhouse a Una Calle de Altabrisa, Yucatán - Inmuebles24","Colonia Maya, Maya, Mérida",,Mérida,Maya,,,Yucatán,"
										,Town House en la Colonia Maya a solo una calle de la avenida principal de Altabrisa ,Terreno 95.79m2., Construcción: 156.76m2 ( 3 Unidades, Deptos. # 2, #3 #4),- 2 Pisos,2 Cuartos Residenciales con baño y closet cada uno,- 2.5 Baños,- Sala comedor,- Cocina,- Terraza y jardín privados,- Family room y terraza en segundo piso,- Adecuaciones para 3 aires acondicionados ( No incluye cableado ),- Cuarto de lavado,- Meseta en cocina de Granito,- Ventanas de Aluminio color Bronce,- Pisos de Porcelanato 60 x 60,- Puertas de madera tipo render,- Acabados en muros exteriores a tres capas,- Acabados en interiores a dos capas,- Cochera techada para dos automóviles y estacionamiento de,- Acabados en fachada con textura,- Focos y plafones en toda la vivienda,- Mesetas de baño en mármol,- Baños vestidos,- Llaves en baños,
									",,,21.018296500000000,-89.579241400000000,157,95,,,,"MN 1,450,000",,,,,,,,TIPI BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/hermosa-residencia-en-vilatrazia-seguridad-52887804.html,inmuebles24, 52887804,2017-08-04 12:28:31.658504,Venta,Casa,"Casa
											",,"Hermosa Residencia en Vilatrazia, Seguridad, Plusvalía, Tranquilidad, Edo. de México - Inmuebles24","valle escondido, El Capulín, Atizapán de Zaragoza",,Atizapán de Zaragoza,El Capulín,,,Edo. de México,"
										Casa de tres Plantas muy iluminada con Amplios Espacios: ,PB: Espacio para 2 autos techados y bodega ,PRIMER NIVEL: Cocina Integral Abierta con cubierta de cuarzo blanco, estudio, sala con domo, comedor de Excelente Tamaño, Alacena. La sala da acceso al jardín frontal ,SEGUNDO NIVEL: Tres Recámaras, 2 comparten baño completo, la recámara Principal cuenta con vestidor, amplio baño con jacuzzi y terraza. ,TERCER NIVEL: Domo de cristal templado en las escaleras, Cuarto de servicio y Cuarto de lavado. Amplio Salón de juegos, Roof Garden. ,El Condominio cuenta con Estacionamiento de visitas, Seguridad las 24 hrs. Ubicación Privilegiada, cerca de los Mejores Colegios, Centros Comerciales y Vialidades. ,Cuenta con Cisterna. ,* La casa esta a un costado del estacionamiento de visitas. ,* A 3 casas del amplio jardín comunitario, cuenta con juegos para niños. ,* La casa cuenta con 4 cámaras de seguridad, las incluye. ,* El diseño es con acabados de lujo. ,* El Roof garden y la recámara principal tienen una Vista Privilegiada.
									",,,19.528907900000000,-99.248969499999990,256,256,,,,"MN 4,500,000",,,,,,,,yitzhak20,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-excelente-ubicacion-a-unas-cuadras-de-53008930.html,inmuebles24, 53008930,2017-08-05 12:28:56.557915,Venta,Departamento,"Departamento
											",,"Departamento en Excelente Ubicación a Unas Cuadras de La Gran Plaza, Provincia de Quintana Roo - Inmuebles24","Gran plaza, Cancún Centro, Cancún",,Cancún,Cancún Centro,,,Quintana Roo,"
										Seguridad privada las 24hrs, circuito cerrado y acceso controlado. ,2 recámaras, 2 Baños completos con acabados en Mármol (1 en la Recámara Principal) Cocina completa, Barra de granito, Cocina integral, Estufa y campana incluidas ,Preparación para Aire Acondicionado en recámaras y sala ,Preparación para ventiladores en recámaras y sala ,Estudio ,Cuarto de lavado ,Balcón ,84m² de construcción ,Precio a partir de: $1,190,000.00 ,Área de amenidades con cancha de fútbol, gimnasio al aire libre, alberca semi-olímpica, alberca de niños, juguetes de niños, parque para mascotas, asadores y palapas. ,Se acepta todo tipo de crédito ,Entrega inmediata disponible ,MAYOR INFORMES Y CITAS ,Ver datos, Móvil/Whatsapp ,Ver datos, Oficina ,Visita nuestra página de FB ,Gold Clávis Real Estate ,A sus órdenes
									",,,21.139927000000000,-86.853593899999960,82,82,,,,"MN 1,190,000",,,,,,,,Gold Clávis ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/bosque-6060-52913725.html,inmuebles24,Noviembre 2018,2017-08-05 12:28:56.557915,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Bosque 6060, Distrito Federal - Inmuebles24","Desierto de los Léones 6060 Ciudad de México, Olivar de los Padres, Alvaro Obregón",,Alvaro Obregón,Olivar de los Padres,,,Distrito Federal,"
										ABILIA lanza un proyecto único e irrepetible al sur de la Ciudad de México, inmerso en un bosque protegido con un castillo medieval que, combinado con una arquitectura de vanguardia, brindan la posibilidad de vivir rodeado de naturaleza con todas las comodidades actuales. ,El 80% del terreno de Bosque 6060 son áreas verdes boscosas destinadas al disfrute de actividades al aire libre con senderos para caminatas y áreas de estar.Los departamentos que van desde 197 m2 hasta 338 m2, cuentan con tres recámaras, sala comedor, family room, elevador directo a piso, terraza, balcón y algunos con jardines privados. ,Seguridad, tranquilidad y calidad son atributos que convierten a Bosque 6060 en uno de los mejores proyectos para vivir en la Ciudad de México.
									",,,19.341633200000000,-99.229032599999980,m²,253,,,,"MN 14,717,032",,,,,,,,Abilia Creando la Diferencia,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/vendo-casa-en-lomas-de-las-aguilas-53064746.html,inmuebles24, 53064746,2017-07-20 12:29:48.569741,Venta,Casa,"Casa
											",,"Vendo Casa en Lomas de Las Aguilas, Distrito Federal - Inmuebles24","Picagregos, Lomas de las Aguilas, Alvaro Obregón",,Alvaro Obregón,Lomas de las Aguilas,,,Distrito Federal,"
										Vendo linda y acogedora casa de 3 niveles en lomas de las águilas dentro de privada con control de acceso y vigilancia las 24hrs. cuenta con 303m2 de construcción 60m2 de jardín recibidor, baño de visitas, sala de t.v., amplisima sala comedor con maravillosa vista hacia la cdmx, cocina integral con family room, cuarto de servicio con baño, área de lavado y tendido, 4 recamaras 2 con baño y vestidor, 4 1/2 baños totales, gym, bodega, chimenea, calefacción, 2 estacionamientos con opción a 3, portón eléctrico.
									",,,19.347301200000000,-99.235906800000010,303,303,,,,"MN 6,480,000",,,,,,,,Ventas,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/espectacular-ph-en-el-corazon-de-polanco-53029736.html,inmuebles24, 53029736,2017-07-13 12:30:14.433470,Venta,Departamento,"Departamento
											",,"Espectacular PH en El Corazón de Polanco, Distrito Federal - Inmuebles24","Petrarca, Polanco, Miguel Hidalgo",,Miguel Hidalgo,Polanco,,,Distrito Federal,"
										Hermoso PH ubicado en una de las mejores calles de Polanco. Este departamento nos ofrece amplios espacios, excelentes acabados y bonitas vistas verdes. Con 235 m2 habitables y 45 m2 de terraza privada, cuenta con; 2 recámaras (opción a una tercera), 3 baños con vestidor, sala-comedor, estudio, cocina integral con desayunador, área de lavado, cuarto de servicio con baño completo, 2 lugares de estacionamiento y una bodega.El edificio ofrece seguridad 24/7.
									",,,19.434325400000000,-99.185605300000020,235,280,,,,"U$D 1,900,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/venta-depto-de-3-rec.-cuajimalpa-164-m2-6.7-millones-53007164.html,inmuebles24, 53007164,2017-08-05 12:30:39.435750,Venta,Departamento,"Departamento
											",,"Venta Depto de 3 Rec. Cuajimalpa 164 m² 6.7 Millones Oportunidad, Distrito Federal - Inmuebles24","CARRETERA FEDERAL MEXICO TOLUCA #5454, Santa Fe Cuajimalpa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
										En Venta Excelente y amplio Depto de 3 rec. 4.5 Baños Cto Servicio Cuajimalpa Santa Fe ""ILUMINADISIMO"" ,Vendo iluminadisimo departamento de 3 recamaras, 4.5 baños, sala comedor amplios, family room, cocina integral con cubierta de granito, area de lavado, cuarto de servicio, dos lugares de estacionamiento y bodega. ,La Recamara principal es muy amplia con vestidor y baño. ,Recamaras secundarias con amplios con closets cada una con su baño completo. ,Sala comedor medio baño de visitas y family room. ,Cocina integral con cubierta de granito amplias alacenas, area de lavado y cuarto de servicio con baño. ,Dos lugares de estacionamiento y bodega. ,El departamento es un plus se aprovechan perfectamente todas sus áreas no se desperdicia nada en su distribución. ,Las amenidades son super completas: ,2 salones de eventos capacidad para 70 personas cada uno con baños hombres y mujeres, cocina industrial. ,2 salones para adultos para reuniones, funciona también como business center, pantalla. ,2 salones para jóvenes mesa de villar, footbolito, mesa de ping pong, sillones y pantalla. ,2 gimnasios super completos. ,alberca techada y climatizada, chapoteado y jacuzzi. ,Sports bar. ,Asoleadero. ,4 Areas de asadores. ,Salon de baile se imparten clases de baile, karate. yoga, kick boxing, Crossfit y mas adecuado para todas las edades. ,Area de reserva es una zona arbolada especial para mascotas o salir a leer un buen libro un privilegio. ,Jardines y mas... ,La comunidad que logramos es perfecta lo notara al visitarnos y sobre todo en el día a día. ,""Por que sabemos que su tiempo y su patrimonio no podrá ser mejor invertido agradecemos su confianza""
									",,,19.362645400000000,-99.282707599999980,164,164,,,,"MN 6,700,000",,,,,,,,UBIHABIT,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/viaducto-rio-becerra-451-53199258.html,inmuebles24,Julio 2018,2017-08-05 12:30:39.435750,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Viaducto Rio Becerra 451, Distrito Federal - Inmuebles24","VIADUCTO RIO BECERRA 451, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Departamentos de diseño exclusivo y últimas tendencias en acabados e interiores. ,10 deptos. desde 70 m2 hasta 100 m2 con 1 recámara, 1.5 baños, cocina, sala, comedor, terraza, roof garden, estacionamiento y elevador. ,A 10 min. del WTC.
									",,,19.386644400000000,-99.181523900000000,m²,70,,,,"MN 3,000,000",,,,,,,,GC TRANSFORMA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/portika-iztacalco-52207251.html,inmuebles24,4° trimestre 2017,2017-08-05 12:30:39.435750,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Portika Iztacalco, Distrito Federal - Inmuebles24","Calle 2  Esq Calle Union, Agrícola Pantitlan, Iztacalco",,Iztacalco,Agrícola Pantitlan,,,Distrito Federal,"
										El concepto más completo de la zona! ,Excelentes acabados, increíbles precios de preventa. ,Todos los departamentos cuentan con estacionamiento y elevadores. ,Manejamos planes de financiemiento a su medida. ,Manejamos INFONAVIT y FOVISSSTE ,Crédito Bancario Scotibank, Bancomer, Banamex, Santander ,120 departamentos ,Amenities: ,ludoteca ,salón de eventos ,area fde juegos infantiles al aire libre ,roof garden con asador ,gimnasio
									",,,19.417508800000000,-99.066133100000000,m²,45,,,,"MN 807,380",,,,,,,,Vita Park,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/one-park-desierto-52044430.html,inmuebles24,2° trimestre 2019,2017-08-05 12:30:39.435750,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"One Park Desierto, Distrito Federal - Inmuebles24","Calzada al Desierto de los Leones 5316, Col. Tetelpan, Álvaro Obregón, México, DF., Tetelpan, Alvaro Obregón",,Alvaro Obregón,Tetelpan,,,Distrito Federal,"
										One Park Desierto, Donde vivir tiene sentido. ,Es un desarrollo mixto diseñado para lograr un perfecto equilibrio entre arquitectura y paisaje natural con hermosas vistas, iluminación, áreas para eventos, tiendas y restaurantes para que vivas momentos inigualables.
									",,,19.339675400000000,-99.237244900000010,m²,69,,,,"MN 3,114,800",,,,,,,,Simetric Grupo Inmobiliario,,,,,,,,,,,,,,,,,,
